condition,cue,verifier_setting,threshold_type,threshold,n_items,n_total,rate,source_path,notes
similar-speaker,Context,speaker raw 3-verifier,any_verifier_gap_lt,-0.02,24282,105258,0.23069030382488742,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,two_of_three_gap_lt,-0.02,16217,105258,0.15406904938341978,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,all_three_gap_lt,-0.02,4432,105258,0.04210606319709666,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,any_verifier_gap_lt,-0.05,20557,105258,0.19530106975241787,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,two_of_three_gap_lt,-0.05,13512,105258,0.12837029014421705,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,all_three_gap_lt,-0.05,118,105258,0.0011210549316916529,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,any_verifier_gap_lt,-0.1,15862,105258,0.15069638412282202,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,two_of_three_gap_lt,-0.1,10215,105258,0.09704725531551046,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,speaker raw 3-verifier,all_three_gap_lt,-0.1,0,105258,0.0,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,raw gap threshold over WeSep ECAPA + SpeechBrain ECAPA + SpeechBrain xvector where available
similar-speaker,Context,waveform raw,local_si_sdr_gap_lt_db,0.0,17166,105258,0.16308499116456707,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,Context,waveform raw,local_si_sdr_gap_lt_db,-1.0,16458,105258,0.15635866157441713,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,Context,waveform raw,local_si_sdr_gap_lt_db,-3.0,15096,105258,0.14341902753234909,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
similar-speaker,Context,waveform raw,local_si_sdr_gap_lt_db,-5.0,13919,105258,0.13223697961200098,/data/tse_cue_project/diagnostics/simspk_multiverifier_ft13/context_ft13/per_chunk_metrics.jsonl,"chunk-level SI-SDR(output,target)-SI-SDR(output,interferer); negative means waveform closer to interferer"
